Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2018,2019,2020,2021,2022,2023,2024,2025,Estimates Start After
Spain,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.29,2.082,-10.823,5.737,6.385,2.623,1.962,1.573,2020
Sri Lanka,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.272,2.255,-3.569,3.647,3.296,3.918,4.139,4.144,2019
St. Kitts and Nevis,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.67,4.804,-14.41,-1.025,10.003,5.101,2.775,2.652,2019
St. Lucia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.926,-0.064,-20.374,3.475,13.14,8.84,3.982,1.762,2020
St. Vincent and the Grenadines,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.163,0.534,-3.253,-6.072,8.33,6.096,4.25,3.306,2019
Sudan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-2.681,-2.178,-3.63,0.9,3.5,5,6.5,6.8,2019
Suriname,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.948,1.098,-15.906,0.684,1.528,2.048,1.662,1.284,2020
Sweden,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.95,1.986,-2.795,4.036,3.378,2.807,1.964,1.992,2020
Switzerland,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.941,1.245,-2.506,3.705,2.992,1.421,1.8,1.2,2020
Syria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2010
Taiwan Province of China,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.787,2.964,3.123,5.864,3.343,2.615,2.242,2.079,2020
Tajikistan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.3,7.5,4.5,5,4.5,4,4,4,2019
Tanzania,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.959,6.971,4.806,4.023,5.11,5.501,5.82,6.01,2020
Thailand,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.19,2.266,-6.099,0.96,4.463,4.036,3.582,3.497,2020
Timor-Leste,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-1.054,1.801,-7.6,1.8,3.8,2.6,2,2.8,2019
Togo,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.967,5.464,1.758,4.776,5.911,6.1,6.3,6.5,2016
Tonga,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.302,0.732,0.655,-2.023,2.894,3.692,3.028,2.042,2020
Trinidad and Tobago,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.066,-1.246,-7.854,-1.015,5.419,2.07,1.572,1.563,2019
Tunisia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.715,0.981,-8.588,3.016,3.344,2.508,2.298,2.19,2020
Turkey,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.98,0.89,1.794,8.953,3.288,3.339,3.284,3.314,2020
Turkmenistan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.326,-7.721,-3.355,4.532,1.673,1.732,1.791,1.852,2020
Tuvalu,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.581,13.874,1.006,2.532,3.513,3.846,4.019,3.843,2019
Uganda,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.612,7.714,-0.841,4.707,5.145,6.632,6.657,7.373,2020
Ukraine,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.488,3.199,-4.042,3.45,3.636,3.396,3.795,3.997,2020
United Arab Emirates,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.19,3.412,-6.135,2.237,3.038,3.041,3.122,3.23,2020
United Kingdom,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.253,1.434,-9.847,6.763,5.013,1.921,1.62,1.511,2020
United States,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.919,2.289,-3.405,5.973,5.198,2.175,1.7,1.7,2020
Uruguay,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.478,0.35,-5.859,3.1,3.2,2.7,2.5,2.193,2020
Uzbekistan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.355,5.71,1.729,6.143,5.375,5.484,5.477,5.508,2020
Vanuatu,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.9,3.913,-6.813,1.219,2.953,4.074,3.656,2.73,2018
Venezuela,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-19.621,-35,-30,-5,-3,n/a,n/a,n/a,2018
Vietnam,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.197,7.15,2.948,3.78,6.628,6.8,6.978,7.137,2020
West Bank and Gaza,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.227,1.363,-11.457,4.44,6,4.1,2.4,2.046,2020
Yemen,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.752,1.4,-8.5,-2,1,7,6.5,6,2020
Zambia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.035,1.441,-3.02,1.005,1.145,1.325,1.437,1.445,2020
Zimbabwe,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.835,-6.144,-4.069,5.133,3.081,2.997,3.024,3.064,2019
,,,,,,,,,,,,,
"International Monetary Fund, World Economic Outlook Database, October 2021",,,,,,,,,,,,,
